naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
45,Retail Trade,452,General Merchandise Stores,4523,"General Merchandise Stores, including Warehouse Clubs and Supercenters",45231,"General Merchandise Stores, including Warehouse Clubs and Supercenters"
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51114,Directory and Mailing List Publishers
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52391,Miscellaneous Intermediation
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54131,Architectural Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56142,Telephone Call Centers
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5629,Remediation and Other Waste Management Services,56292,Materials Recovery Facilities
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6213,Offices of Other Health Practitioners,62139,Offices of All Other Health Practitioners
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7113,"Promoters of Performing Arts, Sports, and Similar Events",71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places
21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31519,Other Apparel Knitting Mills
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32223,Stationery Product Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3259,Other Chemical Product and Preparation Manufacturing,32592,Explosives Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3326,Spring and Wire Product Manufacturing,33261,Spring and Wire Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33993,"Doll, Toy, and Game Manufacturing"
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4512,Book Stores and News Dealers,45121,Book Stores and News Dealers
48,Transportation and Warehousing,488,Support Activities for Transportation,4883,Support Activities for Water Transportation,48839,Other Support Activities for Water Transportation
51,Information,517,Telecommunications,5173,Wired and Wireless Telecommunications Carriers,51731,Wired and Wireless Telecommunications Carriers
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5251,Insurance and Employee Benefit Funds,52519,Other Insurance Funds
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54132,Landscape Architectural Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5613,Employment Services,56132,Temporary Help Services
61,Educational Services,611,Educational Services,6113,"Colleges, Universities, and Professional Schools",61131,"Colleges, Universities, and Professional Schools"
62,Health Care and Social Assistance,624,Social Assistance,6242,"Community Food and Housing, and Emergency and Other Relief Services",62422,Community Housing Services
72,Accommodation and Food Services,722,Food Services and Drinking Places,7223,Special Food Services,72231,Food Service Contractors
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",81399,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction,2111,Oil and Gas Extraction,21111,Oil and Gas Extraction
31,Manufacturing,311,Food Manufacturing,3111,Animal Food Manufacturing,31111,Animal Food Manufacturing
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31323,Nonwoven Fabric Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3161,Leather and Hide Tanning and Finishing,31611,Leather and Hide Tanning and Finishing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,32629,Other Rubber Product Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33392,Material Handling Equipment Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,337,Furniture and Related Product Manufacturing,3372,Office Furniture (including Fixtures) Manufacturing,33721,Office Furniture (including Fixtures) Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",42371,Hardware Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4411,Automobile Dealers,44111,New Car Dealers
45,Retail Trade,454,Nonstore Retailers,4543,Direct Selling Establishments,45431,Fuel Dealers
51,Information,511,Publishing Industries (except Internet),5112,Software Publishers,51121,Software Publishers
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,53241,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56149,Other Business Support Services
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61163,Language Schools
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11119,Other Grain Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21223,"Copper, Nickel, Lead, and Zinc Mining"
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31213,Wineries
31,Manufacturing,316,Leather and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,31699,Other Leather and Allied Product Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32312,Support Activities for Printing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3279,Other Nonmetallic Mineral Product Manufacturing,32799,All Other Nonmetallic Mineral Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33291,Metal Valve Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33639,Other Motor Vehicle Parts Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4241,Paper and Paper Product Merchant Wholesalers,42411,Printing and Writing Paper Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4481,Clothing Stores,44812,Womens Clothing Stores
48,Transportation and Warehousing,488,Support Activities for Transportation,4881,Support Activities for Air Transportation,48819,Other Support Activities for Air Transportation
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5221,Depository Credit Intermediation,52213,Credit Unions
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53229,Other Consumer Goods Rental
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5613,Employment Services,56131,Employment Placement Agencies and Executive Search Services
61,Educational Services,611,Educational Services,6117,Educational Support Services,61171,Educational Support Services
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71394,Fitness and Recreational Sports Centers
81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81219,Other Personal Care Services
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11116,Rice Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31199,All Other Food Manufacturing
32,Manufacturing,321,Wood Product Manufacturing,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,325,Chemical Manufacturing,3259,Other Chemical Product and Preparation Manufacturing,32599,All Other Chemical Product and Preparation Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",33241,Power Boiler and Heat Exchanger Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,33621,Motor Vehicle Body and Trailer Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33993,"Doll, Toy, and Game Manufacturing"
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4412,Other Motor Vehicle Dealers,44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers"
45,Retail Trade,453,Miscellaneous Store Retailers,4533,Used Merchandise Stores,45331,Used Merchandise Stores
48,Transportation and Warehousing,488,Support Activities for Transportation,4883,Support Activities for Water Transportation,48831,Port and Harbor Operations
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52413,Reinsurance Carriers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5414,Specialized Design Services,54143,Graphic Design Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62141,Family Planning Centers
81,Other Services (except Public Administration),812,Personal and Laundry Services,8129,Other Personal Services,81291,Pet Care (except Veterinary) Services
92,Public Administration,926,Administration of Economic Programs,9261,Administration of Economic Programs,92611,Administration of General Economic Programs
81,Other Services (except Public Administration),812,Personal and Laundry Services,8123,Drycleaning and Laundry Services,81233,Linen and Uniform Supply
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1122,Hog and Pig Farming,11221,Hog and Pig Farming
23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction
23,Construction,238,Specialty Trade Contractors,2389,Other Specialty Trade Contractors,23899,All Other Specialty Trade Contractors
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31214,Distilleries
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31521,Cut and Sew Apparel Contractors
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32191,Millwork
32,Manufacturing,325,Chemical Manufacturing,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",32522,Artificial and Synthetic Fibers and Filaments Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32712,Clay Building Material and Refractories Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing"
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3346,Manufacturing and Reproducing Magnetic and Optical Media,33461,Manufacturing and Reproducing Magnetic and Optical Media
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3359,Other Electrical Equipment and Component Manufacturing,33591,Battery Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4241,Paper and Paper Product Merchant Wholesalers,42412,Stationery and Office Supplies Merchant Wholesalers
44,Retail Trade,445,Food and Beverage Stores,4452,Specialty Food Stores,44522,Fish and Seafood Markets
45,Retail Trade,454,Nonstore Retailers,4541,Electronic Shopping and Mail-Order Houses,45411,Electronic Shopping and Mail-Order Houses
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51213,Motion Picture and Video Exhibition
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53229,Other Consumer Goods Rental
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5621,Waste Collection,56211,Waste Collection
71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71219,Nature Parks and Other Similar Institutions
92,Public Administration,923,Administration of Human Resource Programs,9231,Administration of Human Resource Programs,92313,"Administration of Human Resource Programs (except Education, Public Health, and Veterans Affairs Programs)"
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,11233,Turkey Production
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3111,Animal Food Manufacturing,31111,Animal Food Manufacturing
31,Manufacturing,314,Textile Product Mills,3141,Textile Furnishings Mills,31412,Curtain and Linen Mills
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,32622,Rubber and Plastics Hoses and Belting Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",33272,"Turned Product and Screw, Nut, and Bolt Manufacturing"
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3351,Electric Lighting Equipment Manufacturing,33512,Lighting Fixture Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
44,Retail Trade,442,Furniture and Home Furnishings Stores,4421,Furniture Stores,44211,Furniture Stores
45,Retail Trade,452,General Merchandise Stores,4529,Other General Merchandise Stores,45299,All Other General Merchandise Stores
48,Transportation and Warehousing,488,Support Activities for Transportation,4883,Support Activities for Water Transportation,48832,Marine Cargo Handling
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5221,Depository Credit Intermediation,52219,Other Depository Credit Intermediation
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5259,Other Investment Pools and Funds,52599,Other Financial Vehicles
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5612,Facilities Support Services,56121,Facilities Support Services
62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,62331,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81119,Other Automotive Repair and Maintenance
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11111,Soybean Farming
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,11292,Horses and Other Equine Production
21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining
31,Manufacturing,311,Food Manufacturing,3116,Animal Slaughtering and Processing,31161,Animal Slaughtering and Processing
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31212,Breweries
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32518,Other Basic Inorganic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3323,Architectural and Structural Metals Manufacturing,33232,Ornamental and Architectural Metal Products Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3346,Manufacturing and Reproducing Magnetic and Optical Media,33461,Manufacturing and Reproducing Magnetic and Optical Media
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33637,Motor Vehicle Metal Stamping
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42444,Poultry and Poultry Product Merchant Wholesalers
44,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4442,Lawn and Garden Equipment and Supplies Stores,44421,Outdoor Power Equipment Stores
45,Retail Trade,453,Miscellaneous Store Retailers,4539,Other Miscellaneous Store Retailers,45391,Pet and Pet Supplies Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4851,Urban Transit Systems,48511,Urban Transit Systems
51,Information,517,Telecommunications,5173,Wired and Wireless Telecommunications Carriers,51731,Wired and Wireless Telecommunications Carriers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54186,Direct Mail Advertising
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6216,Home Health Care Services,62161,Home Health Care Services
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8133,Social Advocacy Organizations,81331,Social Advocacy Organizations
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1151,Support Activities for Crop Production,11511,Support Activities for Crop Production
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3116,Animal Slaughtering and Processing,31161,Animal Slaughtering and Processing
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31519,Other Apparel Knitting Mills
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32312,Support Activities for Printing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33639,Other Motor Vehicle Parts Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42448,Fresh Fruit and Vegetable Merchant Wholesalers
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44314,Electronics and Appliance Stores
48,Transportation and Warehousing,486,Pipeline Transportation,4861,Pipeline Transportation of Crude Oil,48611,Pipeline Transportation of Crude Oil
51,Information,517,Telecommunications,5179,Other Telecommunications,51791,Other Telecommunications
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5321,Automotive Equipment Rental and Leasing,53211,Passenger Car Rental and Leasing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54169,Other Scientific and Technical Consulting Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5617,Services to Buildings and Dwellings,56172,Janitorial Services
23,Construction,237,Heavy and Civil Engineering Construction,2373,"Highway, Street, and Bridge Construction",23731,"Highway, Street, and Bridge Construction"
31,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32511,Petrochemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3272,Glass and Glass Product Manufacturing,32721,Glass and Glass Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",33271,Machine Shops
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33994,Office Supplies (except Paper) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42441,General Line Grocery Merchant Wholesalers
48,Transportation and Warehousing,483,Water Transportation,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",48311,"Deep Sea, Coastal, and Great Lakes Water Transportation"
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51211,Motion Picture and Video Production
51,Information,519,Other Information Services,5191,Other Information Services,51919,All Other Information Services
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53223,Video Tape and Disc Rental
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54161,Management Consulting Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5616,Investigation and Security Services,56161,"Investigation, Guard, and Armored Car Services"
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6213,Offices of Other Health Practitioners,62131,Offices of Chiropractors
71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71211,Museums
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81119,Other Automotive Repair and Maintenance
92,Public Administration,921,"Executive, Legislative, and Other General Government Suppor",9211,"Executive, Legislative, and Other General Government Suppor",92114,"Executive and Legislative Offices, Combined"
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,11239,Other Poultry Production
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31132,Chocolate and Confectionery Manufacturing from Cacao Beans
31,Manufacturing,313,Textile Mills,3133,Textile and Fabric Finishing and Fabric Coating Mills,31332,Fabric Coating Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3273,Cement and Concrete Product Manufacturing,32739,Other Concrete Product Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33521,Small Electrical Appliance Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42382,Farm and Garden Machinery and Equipment Merchant Wholesalers
44,Retail Trade,447,Gasoline Stations,4471,Gasoline Stations,44711,Gasoline Stations with Convenience Stores
48,Transportation and Warehousing,483,Water Transportation,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",48311,"Deep Sea, Coastal, and Great Lakes Water Transportation"
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51219,Postproduction Services and Other Motion Picture and Video Industries
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5242,"Agencies, Brokerages, and Other Insurance Related Activities",52429,Other Insurance Related Activities
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54138,Testing Laboratories
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5615,Travel Arrangement and Reservation Services,56152,Tour Operators
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62149,Other Outpatient Care Centers
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31134,Nonchocolate Confectionery Manufacturing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31491,Textile Bag and Canvas Mills
32,Manufacturing,322,Paper Manufacturing,3221,"Pulp, Paper, and Paperboard Mills",32211,Pulp Mills
